Country,Capital City,City Latitude,City Longitude
Chile,Santiago,-33.4377968,-70.6504451
China,Beijing,39.906217,116.3912757
Christmas Island,Flying Fish Cove,-10.4266648,105.6686719
Cocos (Keeling) Islands,West Island,-12.1898479,96.8304486
Colombia,Bogotá,4.59808,-74.0760439
Comoros,Moroni,-11.6931255,43.2543044
Cook Islands,Avarua,-21.2074736,-159.7708145
Costa Rica,San José,9.9325427,-84.0795782
Croatia,Zagreb,45.813177,15.977048
Cuba,Havana,23.135305,-82.3589631
Curaçao,Willemstad,12.1091242,-68.9316546
Cyprus,Nicosia,35.1739302,33.364726
Czech Republic,Prague,50.0874654,14.4212535
Democratic Republic of the Congo,Kinshasa,-4.3217055,15.3125974
Denmark,Copenhagen,55.6867243,12.5700724
Djibouti,Djibouti,11.8145966,42.8453061
Dominica,Roseau,15.2991923,-61.3872868
Dominican Republic,Santo Domingo,18.4801972,-69.942111
East Timor,Dili,-8.5536809,125.5784093
Easter Island,Hanga Roa,-27.1481172,-109.4273444
Ecuador,Quito,-0.2201641,-78.5123274
Egypt,Cairo,30.048819,31.243666
El Salvador,San Salvador,13.6989939,-89.1914249
Equatorial Guinea,Malabo,3.752828,8.780061
Eritrea,Asmara,15.3389667,38.9326763
Estonia,Tallinn,59.4372155,24.7453688
Eswatini,Lobamba,-26.4462848,31.2083781
Ethiopia,Addis Ababa,9.0107934,38.7612525
Falkland Islands,Stanley,-51.6950575,-57.8491693
Faroe Islands,Tórshavn,62.012,-6.768
Fiji,Suva,-18.1415884,178.4421662
Finland,Helsinki,60.1674098,24.9425769
France,Paris,48.8566969,2.3514616
French Polynesia,Papeete,-17.5373835,-149.5659964
Gabon,Libreville,0.390002,9.454001
Gambia,Banjul,13.441346450000001,-16.562471332101783
Georgia,Tbilisi,41.6934591,44.8014495
Germany,Berlin,52.5170365,13.3888599
Ghana,Accra,5.5600141,-0.2057437
Gibraltar,Gibraltar,36.10674695,-5.335277183483561
Greece,Athens,37.9839412,23.7283052
Greenland,Nuuk,64.175029,-51.7355386
Grenada,St. George's,12.0535331,-61.751805
Guam,Hagåtña,13.4727446,144.75201822544284
Guatemala,Guatemala City,14.6222328,-90.5185188
Guernsey,St. Peter Port,49.4568142,-2.5389979
Guinea,Conakry,9.5170602,-13.6998434
Guinea-Bissau,Bissau,11.861324,-15.583055
Guyana,Georgetown,6.8025766,-58.1628612
Haiti,Port-au-Prince,18.547327,-72.3395928
Honduras,Tegucigalpa,14.0773859,-87.195419
Hong Kong,Tamar,22.2809027,114.1655341
Hungary,Budapest,47.48138955,19.14607278448202
Iceland,Reykjavík,64.145981,-21.9422367
India,New Delhi,28.6141793,77.2022662
Indonesia,Jakarta,-6.1753942,106.827183
Iran,Tehran,35.7006177,51.4013785
Iraq,Baghdad,33.3024309,44.3787992
Ireland,Dublin,53.3497645,-6.2602732
Israel,Jerusalem,31.778345,35.2250786
Italy,Rome,41.8933203,12.4829321
Ivory Coast,Yamoussoukro,6.809107,-5.273263
Jamaica,Kingston,17.9712148,-76.7928128
Japan,Tokyo,35.6828387,139.7594549
Jersey,St. Helier,49.1856637,-2.1102277
Jordan,Amman,31.6732032,36.31397897487932
Kazakhstan,Nur-Sultan,51.15092055,71.4388595154859
Kenya,Nairobi,-1.2832533,36.8172449
Kiribati,Tarawa,1.4845541999999998,172.96896482000938
Kuwait,Kuwait City,29.3797091,47.9735629
Kyrgyzstan,Bishkek,42.8765615,74.6070079
Laos,Vientiane,17.9640988,102.6133707
Latvia,Riga,56.9493977,24.1051846
Lebanon,Beirut,33.8959203,35.47843
Lesotho,Maseru,-29.310054,27.478222
Liberia,Monrovia,6.328034,-10.797788
Libya,Tripoli,32.896672,13.1777923
Liechtenstein,Vaduz,47.1392862,9.5227962
Lithuania,Vilnius,54.6870458,25.2829111
Luxembourg,Luxembourg,49.6112768,6.129799
Madagascar,Antananarivo,-18.9100122,47.5255809
Malawi,Lilongwe,-13.9875107,33.768144
Malaysia,Kuala Lumpur,3.1516964,101.6942371
Maldives,Malé,4.1779879,73.5107387
Mali,Bamako,12.60503275,-7.986513673439357
Malta,Valletta,35.8989818,14.5136759
Marshall Islands,Majuro,7.0909924,171.3816354
Mauritania,Nouakchott,18.0792379,-15.9780071
Mauritius,Port Louis,-20.1637281,57.5045331
Mexico,Mexico City,19.4326296,-99.1331785
Micronesia,Palikir,6.920744,158.1627143
Moldova,Chișinău,47.0244707,28.8322534
Monaco,Monaco,43.7311424,7.4197576
Mongolia,Ulaanbaatar,47.9184676,106.9177016
Montenegro,Podgorica,42.4415238,19.2621081
Montserrat,Plymouth,16.7053047,-62.2130447
Morocco,Rabat,34.022405,-6.834543
Mozambique,Maputo,-25.966213,32.56745
Myanmar,Naypyidaw,19.7540045,96.1344976
Namibia,Windhoek,-22.5743922,17.0790688
Nauru,Yaren,-0.5471014,166.9164002
Nepal,Kathmandu,27.708317,85.3205817
Netherlands,Amsterdam,52.3727598,4.8936041
New Caledonia,Nouméa,-22.2745264,166.442419
New Zealand,Wellington,-41.2887953,174.7772114
Nicaragua,Managua,12.1459907,-86.2746665
Niger,Niamey,13.524834,2.109823
Nigeria,Abuja,9.0643305,7.4892974
Niue,Alofi,-19.0534159,-169.9191992
Norfolk Island,Kingston,-29.0563564,167.9595733
North Korea,Pyongyang,39.0194741,125.753388
North Macedonia,Skopje,41.9960924,21.4316495
Northern Mariana Islands,Saipan,15.1909828,145.74685349790155
Norway,Oslo,59.9133301,10.7389701
Oman,Muscat,23.5997857,58.5451305
Pakistan,Islamabad,33.6938118,73.0651511
Palau,Ngerulmud,7.5006193,134.6243012
Panama,Panama City,8.9714493,-79.5341802
Papua New Guinea,Port Moresby,-9.4743301,147.1599504
Paraguay,Asunción,-25.2800459,-57.6343814
Peru,Lima,-12.0621065,-77.0365256
Philippines,Manila,14.5906216,120.9799696
Pitcairn Islands,Adamstown,-25.066667,-130.1002054
Poland,Warsaw,52.2337172,21.07141112883227
Portugal,Lisbon,38.7077507,-9.1365919
Puerto Rico,San Juan,18.465299,-66.116666
Qatar,Doha,25.2856329,51.5264162
Republic of the Congo,Brazzaville,-4.2694407,15.2712256
Romania,Bucharest,44.4361414,26.1027202
Russia,Moscow,55.4792046,37.3273304
Rwanda,Kigali,-1.8859597,30.1296751
Saint Barthélemy,Gustavia,17.8957043,-62.8508372
Saint Helena,Jamestown,-15.9277296,-5.7160872
Saint Kitts and Nevis,Basseterre,17.2960919,-62.722301
Saint Lucia,Castries,13.952589249999999,-60.98782353129866
Saint Martin,Marigot,18.0668544,-63.0848869
Saint Pierre and Miquelon,St. Pierre,46.783246899999995,-56.195158907484085
Saint Vincent and the Grenadines,Kingstown,13.1561864,-61.2279621
Samoa,Apia,-13.8343691,-171.7692793
San Marino,San Marino,43.9458623,12.458306
Saudi Arabia,Riyadh,24.6319692,46.7150648
Senegal,Dakar,14.693425,-17.447938
Serbia,Belgrade,44.8178131,20.4568974
Seychelles,Victoria,-4.6232085,55.452359
Sierra Leone,Freetown,8.479004,-13.26795
Singapore,Singapore,1.357107,103.8194992
Sint Maarten,Philipsburg,18.0250713,-63.0483073
Slovakia,Bratislava,48.1516988,17.1093063
Slovenia,Ljubljana,46.0499803,14.5068602
Solomon Islands,Honiara,-9.4310769,159.9552552
Somalia,Mogadishu,2.042778,45.338564
Somaliland,Hargeisa,9.561733,44.061803
South Africa,Cape Town,-33.928992,18.417396
South Georgia and the South Sandwich Islands,King Edward Point,-54.283545,-36.4946355
South Korea,Seoul,37.5666791,126.9782914
South Ossetia,Tskhinvali,42.2251222,43.9708477
South Sudan,Juba,4.8472017,31.5951655
Spain,Madrid,40.4167047,-3.7035825
Sri Lanka,Sri Jayawardenepura Kotte,6.8883219,79.9187415
Sudan,Khartoum,15.593325,32.53565
Suriname,Paramaribo,5.8216091,-55.1770432
Sweden,Stockholm,59.3251172,18.0710935
Switzerland,Bern,46.9482713,7.4514512
Syria,Damascus,33.5130695,36.3095814
São Tomé and Príncipe,São Tomé,0.3389242,6.7313031
Taiwan,Taipei,25.0375198,121.5636796
Tajikistan,Dushanbe,38.5425835,68.81521423589763
Tanzania,Dodoma,-6.3372817,35.73717712327763
Thailand,Bangkok,13.7542529,100.493087
Togo,Lomé,6.130419,1.215829
Tonga,Nukuʻalofa,-21.1343401,-175.2018085
Transnistria,Tiraspol,46.8379988,29.6109543
Trinidad and Tobago,Port of Spain,10.6572678,-61.5180173
Tristan da Cunha,Edinburgh of the Seven Seas,-37.0675894,-12.3108303
Tunisia,Tunis,33.8439408,9.400138
Turkey,Ankara,39.7160439,32.7059948
Turkmenistan,Ashgabat,37.93783215,58.235946718194526
Turks and Caicos Islands,Cockburn Town,21.4607723,-71.1399956
Tuvalu,Funafuti,-8.534994650000002,179.11864963425245
Uganda,Kampala,0.3177137,32.5813539
Ukraine,Kiev,50.4500336,30.5241361
United Arab Emirates,Abu Dhabi,24.4747961,54.3705762
United Kingdom,London,51.5073219,-0.1276474
United States,"Washington, D.C.",38.8948932,-77.0365529
United States Virgin Islands,Charlotte Amalie,18.341137,-64.932789
Uruguay,Montevideo,-34.9059039,-56.1913569
Uzbekistan,Tashkent,41.3123363,69.2787079
Vanuatu,Port Vila,-17.7414972,168.3150163
Vatican City,Vatican City,41.9034912,12.4528349
Venezuela,Caracas,10.506098,-66.9146017
Vietnam,Hanoi,21.0294498,105.8544441
Wallis and Futuna,Mata-Utu,-13.2820419,-176.1740224
Zambia,Lusaka,-15.4164488,28.2821535
Zimbabwe,Harare,-17.831773,31.045686
