Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Micronesia, Fed. Sts.",1.09,2.26,3.19,-1.87,-3.68,-2.31,4.62,0.9,2.68,0.21
Moldova,-6.0,7.1,5.82,-0.59,9.04,5.0,-0.34,4.41,4.69,3.4
Monaco,-11.3,2.1,7.0,1.0,9.6,7.2,4.9,3.5,-3.4,6.1
Mongolia,-1.27,6.37,17.29,12.32,11.65,7.89,2.38,1.17,5.34,7.23
Montenegro,-5.8,2.73,3.23,-2.72,3.55,1.78,3.39,2.95,4.72,5.08
Morocco,4.24,3.82,5.25,3.01,4.54,2.67,4.54,1.06,4.23,2.99
Mozambique,6.31,6.49,7.4,7.26,6.96,7.4,6.72,3.82,3.74,3.43
Myanmar,10.55,9.63,5.59,7.33,8.43,7.99,6.99,5.86,6.76,6.2
Namibia,0.3,6.04,5.09,5.06,5.61,6.35,6.09,1.12,-0.87,-0.55
Nauru,8.66,13.55,11.68,10.09,34.21,36.52,2.81,10.4,4.15,5.7
Nepal,4.53,4.82,3.42,4.78,4.13,5.99,3.32,0.59,8.22,6.66
Netherlands,-3.67,1.34,1.55,-1.03,-0.13,1.42,1.96,2.19,2.91,2.6
New Zealand,-0.21,1.54,2.33,2.23,2.58,3.72,3.58,3.65,3.13,2.77
Nicaragua,-3.29,4.41,6.32,6.5,4.93,4.78,4.79,4.56,4.68,-3.82
Niger,-0.71,8.36,2.28,11.85,5.27,7.53,4.34,4.93,4.89,6.48
Nigeria,8.04,8.01,5.31,4.23,6.67,6.31,2.65,-1.62,0.81,1.94
North Macedonia,-0.36,3.36,2.34,-0.46,2.92,3.63,3.86,2.85,0.24,2.66
Northern Mariana Islands,-17.53,1.38,-7.69,0.54,2.41,3.79,3.52,28.31,25.57,-19.61
Norway,-1.73,0.7,0.98,2.7,1.03,1.97,1.97,1.07,2.32,1.29
Oman,6.11,4.8,-1.11,9.33,4.37,2.75,4.74,4.98,0.27,1.76
Pakistan,2.83,1.61,2.75,3.51,4.4,4.67,4.73,5.53,5.55,5.83
Palau,-6.26,0.29,4.87,1.84,-1.41,4.37,10.08,0.8,-3.52,1.71
Panama,1.24,5.83,11.31,9.78,6.9,5.07,5.73,4.97,5.32,3.68
Papua New Guinea,6.8,10.13,1.11,4.66,3.82,13.54,9.48,4.08,3.54,-0.82
Paraguay,-0.26,11.14,4.25,-0.54,8.42,4.86,3.08,4.31,4.96,3.68
Peru,1.1,8.33,6.33,6.14,5.85,2.38,3.25,3.95,2.52,3.98
Philippines,1.15,7.63,3.66,6.68,7.06,6.15,6.07,6.88,6.68,6.24
Poland,2.82,3.61,5.02,1.61,1.39,3.32,3.84,3.06,4.94,5.15
Portugal,-3.12,1.74,-1.7,-4.06,-0.92,0.79,1.79,2.02,3.51,2.44
Puerto Rico,-1.95,-0.41,-0.36,0.03,-0.31,-1.19,-1.05,-1.26,-2.66,-4.91
Qatar,11.96,19.59,13.38,4.69,4.41,3.98,3.66,2.13,1.58,1.49
Romania,-5.52,-3.9,2.01,2.08,3.51,3.41,3.87,4.8,7.11,3.95
Russian Federation,-7.8,4.5,4.3,3.7,1.8,0.7,-2.31,0.33,1.63,2.25
Rwanda,6.25,7.33,7.96,8.64,4.72,6.16,8.87,5.98,6.12,8.61
Samoa,-4.81,0.48,4.17,-4.09,-0.42,0.08,4.27,8.05,1.02,-2.17
Sao Tome and Principe,2.43,6.67,4.4,3.14,4.81,6.55,3.8,4.17,3.87,2.66
Saudi Arabia,-2.06,5.04,10.0,5.41,2.7,3.65,4.11,1.67,-0.74,2.43
Senegal,2.09,3.56,1.46,5.12,2.82,6.61,6.37,6.36,7.08,6.77
Serbia,-2.73,0.73,2.04,-0.68,2.89,-1.59,1.78,3.34,2.05,4.39
Seychelles,-1.11,5.95,7.89,1.26,6.02,4.5,4.94,4.5,4.33,3.63
Sierra Leone,3.19,5.35,6.32,15.18,20.72,4.56,-20.6,6.06,4.21,3.45
Singapore,0.12,14.53,6.26,4.45,4.82,3.9,2.89,2.96,3.7,3.14
Slovak Republic,-5.46,5.72,2.86,1.9,0.67,2.75,4.82,2.12,3.04,4.03
Slovenia,-7.55,1.34,0.86,-2.64,-1.03,2.77,2.21,3.12,4.83,4.12
Solomon Islands,-4.74,6.81,13.2,4.56,3.02,2.25,2.54,3.22,3.69,3.85
South Africa,-1.54,3.04,3.28,2.21,2.49,1.85,1.19,0.4,1.41,0.79
Spain,-3.76,0.16,-0.81,-2.96,-1.44,1.38,3.84,3.03,2.89,2.35
Sri Lanka,3.54,8.02,8.4,9.14,3.4,4.96,5.01,4.49,3.42,3.21
St. Kitts and Nevis,-3.37,-2.94,1.83,-2.23,5.38,6.28,1.03,2.83,-1.98,2.92
St. Lucia,-1.45,0.3,4.14,-0.29,-1.97,1.34,0.23,3.15,2.55,0.86
St. Vincent and the Grenadines,-2.1,-3.35,-0.42,1.38,1.83,1.21,1.33,1.9,1.0,2.16
Sudan,3.24,3.47,-1.97,0.52,4.39,2.68,4.91,4.7,4.28,-2.32
Suriname,3.01,5.17,5.85,2.69,2.93,0.26,-3.41,-5.56,1.69,1.9
Sweden,-4.24,6.19,3.05,-0.63,1.09,2.75,4.42,2.41,2.41,2.23
Switzerland,-2.22,3.0,1.69,1.01,1.85,2.45,1.33,1.72,1.8,2.75
Tajikistan,3.89,6.52,7.4,7.49,7.4,6.71,6.01,6.87,7.62,7.3
Tanzania,5.27,6.34,7.67,4.5,6.78,6.73,6.16,6.87,6.79,5.44
Thailand,-0.69,7.51,0.84,7.24,2.69,0.98,3.13,3.36,4.02,4.13
Timor-Leste,-6.04,-1.17,11.46,5.02,-11.09,-25.91,20.63,0.71,-9.15,2.81
Togo,5.54,6.1,6.4,6.54,6.11,5.92,5.74,5.56,4.36,4.91
Tonga,2.29,3.59,2.79,0.89,-3.12,2.07,3.71,3.38,2.7,0.3
Trinidad and Tobago,-4.39,3.32,-0.29,1.27,2.23,-0.91,1.82,-6.3,-2.31,-0.25
Tunisia,3.04,3.51,-1.92,4.0,2.88,2.97,1.19,1.26,1.82,2.48
Turkey,-4.7,8.49,11.11,4.79,8.49,5.17,6.09,3.18,7.47,2.83
Turkmenistan,6.1,9.2,14.7,11.1,10.2,10.3,6.5,6.2,6.5,6.2
Tuvalu,-4.43,-2.73,7.52,-3.84,4.58,1.35,9.14,3.03,4.09,2.5
Uganda,6.8,5.64,9.39,3.84,3.59,5.11,5.19,4.78,3.86,6.15
Ukraine,-14.76,3.83,5.47,0.24,-0.03,-6.55,-9.77,2.44,2.47,3.34
United Arab Emirates,-5.24,1.6,6.93,4.48,5.05,4.28,5.11,3.06,0.49,1.73
United Kingdom,-4.25,1.95,1.54,1.48,2.14,2.61,2.36,1.92,1.89,1.39
United States,-2.54,2.56,1.55,2.25,1.84,2.45,2.88,1.57,2.22,2.93
Uruguay,4.24,7.8,5.16,3.54,4.64,3.24,0.37,1.69,2.59,1.62
Uzbekistan,8.05,7.6,7.78,7.38,7.58,7.18,7.45,6.09,4.46,5.12
Vanuatu,3.31,1.63,1.22,1.75,1.97,2.33,0.2,3.5,4.4,3.2
"Venezuela, RB",-3.2,-1.49,4.18,5.63,1.34,-3.89,-6.22,-17.04,-15.67,-19.62
Vietnam,5.4,6.42,6.24,5.25,5.42,5.98,6.68,6.21,6.81,7.08
West Bank and Gaza,8.66,8.1,12.41,6.28,2.22,-0.18,3.43,4.71,3.14,0.91
"Yemen, Rep.",3.87,7.7,-12.71,2.39,4.82,-0.19,-16.68,-13.62,-5.94,-2.7
Zambia,9.22,10.3,5.56,7.6,5.06,4.7,2.92,3.76,3.4,3.79
Zimbabwe,12.02,19.68,14.19,16.67,1.99,2.38,1.78,0.76,4.7,6.16
Arab World,0.43,4.77,3.63,6.66,3.17,2.44,3.31,3.37,0.83,2.05
Caribbean small states,-3.63,1.25,1.02,1.27,0.78,0.49,1.18,-1.65,-0.19,1.26
Central Europe and the Baltics,-3.45,1.6,3.23,0.76,1.26,3.04,3.91,3.05,4.8,4.31
Early-demographic dividend,0.63,6.17,4.97,4.24,4.3,4.01,4.2,3.96,4.1,3.52
East Asia & Pacific,1.38,7.05,4.61,4.69,4.76,4.14,4.14,4.06,4.59,4.2
East Asia & Pacific (excluding high income),7.69,9.78,8.47,7.51,7.2,6.76,6.51,6.38,6.47,6.29
East Asia & Pacific (IDA & IBRD countries),7.7,9.78,8.47,7.51,7.2,6.76,6.51,6.38,6.47,6.3
Euro area,-4.5,2.13,1.69,-0.89,-0.25,1.4,2.11,1.91,2.54,1.9
Europe & Central Asia,-4.44,2.63,2.4,0.29,0.9,1.83,2.05,1.94,2.76,2.14
Europe & Central Asia (excluding high income),-5.92,5.07,6.04,3.7,4.04,2.24,0.84,1.76,4.04,2.85
Europe & Central Asia (IDA & IBRD countries),-4.87,4.76,5.8,3.34,3.63,2.34,1.24,1.95,4.14,3.15
European Union,-4.32,2.17,1.79,-0.42,0.26,1.74,2.35,2.04,2.6,2.01
Fragile and conflict affected situations,4.63,6.59,-5.42,12.38,3.84,1.09,2.23,5.89,2.77,1.97
Heavily indebted poor countries (HIPC),4.25,5.89,4.51,5.71,5.76,5.54,4.91,4.63,5.12,4.11
High income,-3.32,2.96,1.86,1.28,1.44,2.03,2.33,1.71,2.3,2.24
IBRD only,2.02,7.31,6.0,5.03,4.97,4.27,3.66,3.95,4.6,4.34
IDA & IBRD total,2.23,7.24,5.9,5.01,5.03,4.36,3.7,3.89,4.58,4.34
IDA blend,5.72,6.24,5.0,4.53,5.82,5.8,3.91,1.58,2.74,3.61
IDA only,4.73,6.21,4.08,4.87,6.07,5.56,4.47,4.81,5.72,5.05
IDA total,5.23,6.23,4.55,4.7,5.94,5.68,4.18,3.15,4.22,4.34
Late-demographic dividend,2.64,7.62,6.7,5.38,5.2,4.59,3.87,3.77,4.7,4.82
Latin America & Caribbean,-1.88,5.84,4.39,2.78,2.75,1.0,-0.36,-1.46,0.69,0.5
Latin America & Caribbean (excluding high income),-1.92,6.01,4.41,2.7,2.73,0.96,-0.54,-1.69,0.68,0.37
Latin America & the Caribbean (IDA & IBRD countries),-1.9,6.05,4.52,2.85,2.83,1.04,-0.41,-1.5,0.73,0.56
Least developed countries: UN classification,4.6,6.25,3.8,4.95,5.73,5.44,4.06,3.83,4.81,4.23
Low & middle income,2.3,7.36,5.93,5.1,5.13,4.42,3.72,3.94,4.6,4.33
Low income,5.21,6.97,3.5,3.48,6.07,5.78,2.92,3.43,4.88,4.95
Lower middle income,4.95,6.84,4.99,5.18,5.64,5.66,5.59,5.56,5.56,5.49
Middle East & North Africa,0.5,5.05,3.68,3.89,2.69,2.9,2.49,4.92,1.48,2.34
Middle income,2.26,7.37,5.97,5.12,5.11,4.4,3.73,3.94,4.6,4.33
North America,-2.58,2.61,1.7,2.2,1.89,2.49,2.66,1.52,2.29,2.83
OECD members,-3.47,2.92,1.82,1.26,1.48,2.04,2.42,1.74,2.47,2.25
Other small states,1.86,8.36,7.6,3.55,2.89,2.87,2.9,2.43,2.22,2.14
Pacific island small states,-1.29,2.92,3.87,1.11,2.96,3.81,4.07,3.29,4.01,2.65
Post-demographic dividend,-3.48,2.83,1.6,1.12,1.34,1.87,2.11,1.64,2.31,2.15
Pre-demographic dividend,5.06,6.3,4.57,5.69,5.95,4.8,3.08,3.09,1.55,1.99
Small states,0.83,7.06,6.48,3.17,2.58,2.54,2.67,1.87,1.92,2.03
South Asia,7.13,7.7,5.14,5.5,6.09,6.99,7.48,7.71,6.93,6.66
South Asia (IDA & IBRD),7.13,7.7,5.14,5.5,6.09,6.99,7.48,7.71,6.93,6.66
Sub-Saharan Africa,3.04,5.58,4.45,4.04,5.0,4.66,2.83,1.23,2.53,2.39
Sub-Saharan Africa (excluding high income),3.04,5.58,4.45,4.05,5.0,4.66,2.83,1.23,2.53,2.39
Sub-Saharan Africa (IDA & IBRD countries),3.04,5.58,4.45,4.04,5.0,4.66,2.83,1.23,2.53,2.39
Upper middle income,1.52,7.52,6.24,5.11,4.97,4.05,3.2,3.47,4.31,3.97
World,-1.68,4.3,3.13,2.51,2.65,2.83,2.81,2.48,3.11,2.97
